,title,price,url,website
35,HIPOGLÓS TRANSPARENTE 30G,"R$18,91",https://www.ultrafarma.com.br/alivik-pomada-aliviadora-12g,ultrafarma
36,VICK VAPORUB POMADA 30G,"R$28,90",https://www.ultrafarma.com.br/creme-para-prevencao-de-assaduras-hipoglos-amendoas-com-40g,ultrafarma
37,CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + NEOMICINA POMADA 30G - MEDLEY - GENÉRICO,"R$13,60",https://www.ultrafarma.com.br/alivik-pomada-aliviadora-40g,ultrafarma
38,BEPANTOL BABY 60G,"R$26,99",https://www.ultrafarma.com.br/hidrocortisona-pomada-com-30g-ems-generico,ultrafarma
39,FISIOFORT POMADA MASSAGEADORA 150G,"R$10,24",https://www.ultrafarma.com.br/fisiofort-premium-pomada-massageadora-150g,ultrafarma
40,"PROCTAN POMADA PARA HEMORROIDAS, PROPORCIONA ALÍVIO RÁPIDO DAS DORES E INCOMODO 25G + 6 APLICADORES","R$44,13",https://www.ultrafarma.com.br/pomada-minancora-com-30g,ultrafarma
41,NEOMICINA + BACITRACINA POMADA COM 15 GRAMAS - TEUTO - GENÉRICO,"R$7,20",https://www.ultrafarma.com.br/trok-pomada-com-10g,ultrafarma
42,NISTATINA + ÓXIDO DE ZINCO POMADA 60G - NEO QUÍMICA - GENÉRICO,"R$13,79",https://www.ultrafarma.com.br/dipropionato-de-betametasona-acido-salicilico-pomada-30g-teuto-generico,ultrafarma
43,DIPROPIONATO DE BETAMETASONA + ÁCIDO SALICÍLICO POMADA 30G - TEUTO - GENÉRICO,"R$16,22",https://www.ultrafarma.com.br/creme-para-prevencao-de-assaduras-dermodex-prevent-com-30g,ultrafarma
44,CETOCONAZOL + DIPROPIONATO DE BETAMETASONA POMADA 30G - TEUTO - GENÉRICO,"R$9,68",https://www.ultrafarma.com.br/calendula-concreta-pomada-com-30g,ultrafarma
45,FISIOFORT PREMIUM POMADA MASSAGEADORA 150G,"R$13,66",https://www.ultrafarma.com.br/hemodase-pomada-25g-10-aplicadores,ultrafarma
46,ALIVIK - POMADA ALIVIADORA 40G,"R$11,52",https://www.ultrafarma.com.br/creme-para-prevencao-de-assaduras-dermodex-prevent-com-60g,ultrafarma
47,CREME PARA PREVENÇÃO DE ASSADURAS DERMODEX PREVENT 30G,"R$15,86",https://www.ultrafarma.com.br/creme-para-prevencao-de-assaduras-desitin-creamy-com-57g,ultrafarma
48,HIPOGLÓS AMÊNDOAS 40G,"R$23,34",https://www.ultrafarma.com.br/cetoconazol-dipropionato-de-betametasona-neomicina-pomada-30g-medley-generico,ultrafarma
49,BEPANTOL BABY 120G,"R$49,67",https://www.ultrafarma.com.br/canela-de-velho-com-sebo-carneiro-pomada-massageadora-150g,ultrafarma
50,POMADA BASILICÃO ARTE NATIVA 12G,"R$9,90",https://www.ultrafarma.com.br/proctan-pomada-com-25-g-6-aplicadores,ultrafarma
51,CANELA DE VELHO COM SEBO CARNEIRO POMADA MASSAGEADORA 150G,"R$9,73",https://www.ultrafarma.com.br/pomada-para-prevencao-de-assaduras-baby-d-com-45g,ultrafarma
52,CREME PARA PREVENÇÃO DE ASSADURAS DESITIN CREAMY 57G,"R$40,28",https://www.ultrafarma.com.br/bepantol-baby-com-60g,ultrafarma
53,CREME PARA PREVENÇÃO DE ASSADURAS DERMODEX PREVENT 60G,"R$28,59",https://www.ultrafarma.com.br/nistatina-oxido-de-zinco-pomada-com-60-g-neo-quimica-generico,ultrafarma
54,PROCTYL POMADA 30G 10 APLICADORES,"R$70,40",https://www.ultrafarma.com.br/pomada-basilicao-arte-nativa-12g,ultrafarma
55,VALERATO DE BETAMETASONA POMADA 30G - MEDLEY - GENÉRICO,"R$11,47",https://www.ultrafarma.com.br/cetoconazol-dipropionato-de-betametasona-pomada-30g-teuto-generico,ultrafarma
56,CALÊNDULA CONCRETA POMADA 30G,"R$12,72",https://www.ultrafarma.com.br/neomicina-bacitracina-pomada-com-15-gramas-teuto-generico,ultrafarma
57,HEMODASE POMADA 25G + 10 APLICADORES,"R$22,98",https://www.ultrafarma.com.br/valerato-de-betametasona-pomada-30g-medley-generico,ultrafarma
58,HIDROCORTISONA POMADA 30G - EMS - GENÉRICO,"R$19,54",https://www.ultrafarma.com.br/bepantol-baby-com-120g,ultrafarma
59,TROK POMADA 10G,"R$17,02",https://www.ultrafarma.com.br/neomicina-bacitracina-pomada-com-50-gramas-teuto-generico,ultrafarma
60,NEOMICINA + BACITRACINA POMADA 50G - PRATI DONADUZZI - GENÉRICO,"R$17,03",https://www.ultrafarma.com.br/imescard-pomada-com-25g,ultrafarma
61,PSOREX POMADA 30G,"R$25,29",https://www.ultrafarma.com.br/trok-n-pomada-com-10g,ultrafarma
